AFiDs_line,Annotation figure IDs file name,common_database_double-checked file name 
3871,Labeling_5 - Krithika_97_20220705T054818-0_3.pcd_264493333.pcd,51-97-0_3-20220705T054818.pcd
3873,Labeling_5 - Krithika_97_20220706T054932-0_3.pcd_264493334.pcd,51-97-0_3-20220706T054932.pcd
3875,Labeling_5 - Krithika_97_20220707T045320-0_3.pcd_264493335.pcd,51-97-0_3-20220707T045320.pcd
3877,Labeling_5 - Krithika_97_20220708T032429-0_3.pcd_264493340.pcd,51-97-0_3-20220708T032429.pcd
3879,Labeling_5 - Krithika_97_20220708T092902-0_3.pcd_264493341.pcd,51-97-0_3-20220708T092902.pcd
3883,Labeling_5 - Rekha_97_20220701T081025-0_0.pcd_264493857.pcd,51-97-0_0-20220701T081025.pcd
3889,Labeling_5 - Rekha_97_20220706T054932-0_0.pcd_264493861.pcd,51-97-0_0-20220706T054932.pcd
3891,Labeling_5 - Rekha_97_20220707T045320-0_0.pcd_264493862.pcd,51-97-0_0-20220707T045320.pcd
3893,Labeling_5 - Rekha_97_20220708T092902-0_0.pcd_264493864.pcd,51-97-0_0-20220708T092902.pcd
3903,Labeling_5 - Sunita_97_20220704T034007-1_0.pcd_266214382.pcd,51-97-1_0-20220704T034007.pcd
3911,Labeling_5 - Sunita_97_20220706T054932-1_0.pcd_266214384.pcd,51-97-1_0-20220706T054932.pcd
3919,Labeling_5 - Sunita_97_20220709T034019-1_0.pcd_266214427.pcd,51-97-1_0-20220709T034019.pcd
3923,Labeling_5 - Sunita_97_20220709T095212-1_0.pcd_266214428.pcd,51-97-1_0-20220709T095212.pcd
3927,Labeling_Exp51--97--0_7--Sunita_0_7-97_20220701T081025-0_7.pcd_269646759.pcd,51-97-0_7-20220701T081025.pcd
3932,Labeling_Exp51--97--0_7--Sunita_0_7-97_20220702T053351-0_7.pcd_269646760.pcd,51-97-0_7-20220702T053351.pcd
3937,Labeling_Exp51--97--0_7--Sunita_0_7-97_20220704T034007-0_7.pcd_269646761.pcd,51-97-0_7-20220704T034007.pcd
3942,Labeling_Exp51--97--0_7--Sunita_0_7-97_20220705T054818-0_7.pcd_269646762.pcd,51-97-0_7-20220705T054818.pcd
3947,Labeling_Exp51--97--1_6--Krithika_1_6-97_20220701T081025-1_6.pcd_269646773.pcd,51-97-1_6-20220701T081025.pcd
3955,Labeling_Exp51--97--1_6--Krithika_1_6-97_20220704T034007-1_6.pcd_269646775.pcd,51-97-1_6-20220704T034007.pcd
3967,partLabeling_5 - Sunita_97_20220710T031209-1_0.pcd_266214429.pcd,51-97-1_0-20220710T031209.pcd
3971,partLabeling_5 - Sunita_97_20220711T030647-1_0.pcd_266214431.pcd,51-97-1_0-20220711T030647.pcd
572,50-27-0_10-20220530T074538.pcd,50-27-0_10-20220530T074538.pcd
577,50-27-0_10-20220531T042054.pcd,50-27-0_10-20220531T042054.pcd
582,50-27-0_10-20220601T033109.pcd,50-27-0_10-20220601T033109.pcd
587,50-27-0_10-20220602T052138.pcd,50-27-0_10-20220602T052138.pcd
493,50-27-0_1-20220531T042054.pcd,50-27-0_1-20220531T042054.pcd
498,50-27-0_1-20220601T033109.pcd,50-27-0_1-20220601T033109.pcd
503,50-27-0_1-20220602T052138.pcd,50-27-0_1-20220602T052138.pcd
599,50-27-0_3-20220523T042520.pcd,50-27-0_3-20220523T042520.pcd
610,50-27-0_3-20220524T041419.pcd,50-27-0_3-20220524T041419.pcd
622,50-27-0_3-20220525T030449.pcd,50-27-0_3-20220525T030449.pcd
634,50-27-0_3-20220527T045102.pcd,50-27-0_3-20220527T045102.pcd
645,50-27-0_3-20220530T074538.pcd,50-27-0_3-20220530T074538.pcd
647,50-27-0_3-20220531T042054.pcd,50-27-0_3-20220531T042054.pcd
649,50-27-0_3-20220601T033109.pcd,50-27-0_3-20220601T033109.pcd
651,50-27-0_3-20220602T052138.pcd,50-27-0_3-20220602T052138.pcd
673,50-27-0_6-20220525T030449.pcd,50-27-0_6-20220525T030449.pcd
684,50-27-0_6-20220527T045102.pcd,50-27-0_6-20220527T045102.pcd
700,50-27-0_6-20220530T074538.pcd,50-27-0_6-20220530T074538.pcd
702,50-27-0_6-20220531T042054.pcd,50-27-0_6-20220531T042054.pcd
704,50-27-0_6-20220601T033109.pcd,50-27-0_6-20220601T033109.pcd
706,50-27-0_6-20220602T052138.pcd,50-27-0_6-20220602T052138.pcd
708,50-27-0_7-20220523T042520.pcd,50-27-0_7-20220523T042520.pcd
719,50-27-0_7-20220524T041419.pcd,50-27-0_7-20220524T041419.pcd
733,50-27-0_7-20220525T030449.pcd,50-27-0_7-20220525T030449.pcd
747,50-27-0_7-20220527T045102.pcd,50-27-0_7-20220527T045102.pcd
762,50-27-0_7-20220530T074538.pcd,50-27-0_7-20220530T074538.pcd
767,50-27-0_7-20220531T042054.pcd,50-27-0_7-20220531T042054.pcd
772,50-27-0_7-20220601T033109.pcd,50-27-0_7-20220601T033109.pcd
777,50-27-0_7-20220602T052138.pcd,50-27-0_7-20220602T052138.pcd
782,50-27-0_8-20220523T042520.pcd,50-27-0_8-20220523T042520.pcd
794,50-27-0_8-20220524T041419.pcd,50-27-0_8-20220524T041419.pcd
806,50-27-0_8-20220525T030449.pcd,50-27-0_8-20220525T030449.pcd
819,50-27-0_8-20220527T045102.pcd,50-27-0_8-20220527T045102.pcd
832,50-27-0_8-20220530T074538.pcd,50-27-0_8-20220530T074538.pcd
839,50-27-0_8-20220531T042054.pcd,50-27-0_8-20220531T042054.pcd
846,50-27-0_8-20220601T033109.pcd,50-27-0_8-20220601T033109.pcd
963,50-27-1_10-20220523T042520.pcd,50-27-1_10-20220523T042520.pcd
978,50-27-1_10-20220524T041419.pcd,50-27-1_10-20220524T041419.pcd
993,50-27-1_10-20220525T030449.pcd,50-27-1_10-20220525T030449.pcd
1008,50-27-1_10-20220527T045102.pcd,50-27-1_10-20220527T045102.pcd
1024,50-27-1_10-20220530T074538.pcd,50-27-1_10-20220530T074538.pcd
1030,50-27-1_10-20220531T042054.pcd,50-27-1_10-20220531T042054.pcd
1036,50-27-1_10-20220601T033109.pcd,50-27-1_10-20220601T033109.pcd
1042,50-27-1_10-20220602T052138.pcd,50-27-1_10-20220602T052138.pcd
870,50-27-1_1-20220523T042520.pcd,50-27-1_1-20220523T042520.pcd
888,50-27-1_1-20220524T041419.pcd,50-27-1_1-20220524T041419.pcd
907,50-27-1_1-20220525T030449.pcd,50-27-1_1-20220525T030449.pcd
920,50-27-1_1-20220527T045102.pcd,50-27-1_1-20220527T045102.pcd
939,50-27-1_1-20220530T074538.pcd,50-27-1_1-20220530T074538.pcd
945,50-27-1_1-20220531T042054.pcd,50-27-1_1-20220531T042054.pcd
951,50-27-1_1-20220601T033109.pcd,50-27-1_1-20220601T033109.pcd
957,50-27-1_1-20220602T052138.pcd,50-27-1_1-20220602T052138.pcd
1048,50-27-1_4-20220523T042520.pcd,50-27-1_4-20220523T042520.pcd
1057,50-27-1_4-20220524T041419.pcd,50-27-1_4-20220524T041419.pcd
1068,50-27-1_4-20220525T030449.pcd,50-27-1_4-20220525T030449.pcd
1079,50-27-1_4-20220527T045102.pcd,50-27-1_4-20220527T045102.pcd
1091,50-27-1_4-20220530T074538.pcd,50-27-1_4-20220530T074538.pcd
1097,50-27-1_4-20220531T042054.pcd,50-27-1_4-20220531T042054.pcd
1103,50-27-1_4-20220601T033109.pcd,50-27-1_4-20220601T033109.pcd
1109,50-27-1_4-20220602T052138.pcd,50-27-1_4-20220602T052138.pcd
1115,50-27-1_5-20220523T042520.pcd,50-27-1_5-20220523T042520.pcd
1125,50-27-1_5-20220524T041419.pcd,50-27-1_5-20220524T041419.pcd
1136,50-27-1_5-20220525T030449.pcd,50-27-1_5-20220525T030449.pcd
1147,50-27-1_5-20220527T045102.pcd,50-27-1_5-20220527T045102.pcd
1157,50-27-1_5-20220530T074538.pcd,50-27-1_5-20220530T074538.pcd
1164,50-27-1_5-20220531T042054.pcd,50-27-1_5-20220531T042054.pcd
1171,50-27-1_5-20220601T033109.pcd,50-27-1_5-20220601T033109.pcd
1178,50-27-1_5-20220602T052138.pcd,50-27-1_5-20220602T052138.pcd
1234,50-27-1_6-20220531T042054.pcd,50-27-1_6-20220531T042054.pcd
1246,50-27-1_7-20220523T042520.pcd,50-27-1_7-20220523T042520.pcd
