pcd_file_name,sample_points,sample_points_not_labeled,sample_objects_count,sample_organs_count,sample_plants_count,SPOI
50-27-1_5-20220531T042054.pcd,32517,266,11,6,7,0.0709315874003013
50-27-1_5-20220601T033109.pcd,31281,300,18,14,7,0.182419288897517
50-27-1_5-20220602T052138.pcd,39547,362,11,4,8,0.5880158327710986
50-27-1_6-20220523T042520.pcd,4275,121,21,21,9,0.0
50-27-1_6-20220524T041419.pcd,9986,256,31,31,10,0.3779468353244075
50-27-1_6-20220525T030449.pcd,14074,101,44,44,12,0.1559211873225824
50-27-1_6-20220527T045102.pcd,21269,357,33,33,13,0.4658343362475494
50-27-1_6-20220530T074538.pcd,9405,23,4,0,4,0.0
50-27-1_6-20220531T042054.pcd,24665,83,11,9,4,0.0017130289307139
50-27-1_6-20220601T033109.pcd,24025,151,24,24,4,0.0795290337062894
50-27-1_6-20220602T052138.pcd,27698,174,22,22,4,0.0032556450920972
50-27-1_7-20220523T042520.pcd,5224,78,11,11,11,0.0
50-27-1_7-20220524T041419.pcd,11465,347,13,13,13,0.1442801607423064
50-27-1_7-20220525T030449.pcd,19760,169,15,15,15,0.581583387938808
50-27-1_7-20220527T045102.pcd,26388,119,15,15,15,0.4959959909595082
50-27-1_7-20220530T074538.pcd,12821,8,16,14,6,0.0
50-27-1_7-20220531T042054.pcd,33339,121,14,10,6,0.0734896758552473
50-27-1_7-20220601T033109.pcd,38155,218,38,38,6,0.6390838283835847
50-27-1_7-20220602T052138.pcd,41678,193,43,43,6,0.3183977397723349
50-27-1_9-20220523T042520.pcd,6218,94,15,15,15,0.1922145634502632
50-27-1_9-20220524T041419.pcd,7947,88,15,15,15,0.3213303834064073
50-27-1_9-20220525T030449.pcd,11595,224,15,15,15,1.0165494014320229
50-27-1_9-20220527T045102.pcd,17273,425,27,27,15,1.27792677121429
50-27-1_9-20220530T074538.pcd,9349,23,13,13,4,0.0
50-27-1_9-20220531T042054.pcd,16200,165,17,17,4,0.0
50-27-1_9-20220601T033109.pcd,19113,164,23,23,4,0.0568472813949815
50-27-1_9-20220602T052138.pcd,22469,143,23,23,4,0.111244504902714
59-79-1_1-20230731T063312.pcd,11368,170,30,30,8,0.138933043013402
59-79-1_1-20230801T090222.pcd,13806,160,31,31,7,0.1213708221456922
59-79-1_1-20230802T034543.pcd,16529,334,28,27,7,0.1741603032194872
59-79-1_1-20230802T082140.pcd,17200,1156,23,22,6,0.1171902626888066
59-79-1_1-20230803T051109.pcd,16785,204,35,35,7,0.1886908017365332
59-79-1_1-20230803T082206.pcd,17225,413,36,36,7,0.2071164667974695
59-79-1_1-20230804T083131.pcd,19788,331,44,44,7,0.2170186230195693
59-79-1_1-20230805T085523.pcd,23660,287,36,34,7,0.0946020914778882
59-79-1_1-20230807T050152.pcd,15913,167,32,32,4,0.0482651811796158
59-79-1_1-20230807T081832.pcd,15822,237,32,32,4,0.0584290795129184
59-79-1_1-20230808T041812.pcd,18564,384,33,33,4,0.0434239785049031
59-79-1_1-20230808T084305.pcd,19881,281,34,34,4,0.0741985699806913
59-79-1_10-20230729T054442.pcd,17401,531,12,0,12,0.9617609182642528
59-79-1_8-20230729T054442.pcd,28361,650,42,42,16,1.9140986225153127
51-97-1_1-20220701T081025.pcd,15572,145,6,0,6,0.1459381372051131
51-97-1_1-20220702T053351.pcd,16008,357,27,27,6,0.0066922645267168
51-97-1_1-20220704T034007.pcd,18482,244,6,0,6,0.0
51-97-1_1-20220705T054818.pcd,22147,657,24,24,5,0.0137101781519488
51-97-0_9-20220701T081025.pcd,8472,902,9,9,2,0.0
51-97-0_9-20220702T053351.pcd,11941,1858,2,0,2,0.0
51-97-0_9-20220705T054818.pcd,21632,4477,2,0,2,0.0
